n1.name,n1.identifier,n2.name,n2.identifier,r.cell_line,r.pubmed_id,r.source,r.statistic_score
COX7C,1350,RPL27,6155,Jurkat,31300006,CRISPR/CRISPRi,0.03
COX7C,1350,PRIM2,5558,Jurkat,31300006,CRISPR/CRISPRi,0.0
COX7C,1350,NUTF2,10204,Jurkat,31300006,CRISPR/CRISPRi,0.03
COX7C,1350,NFE2L1,4779,Jurkat,31300006,CRISPR/CRISPRi,0.04
COX7C,1350,TUBGCP4,27229,Jurkat,31300006,CRISPR/CRISPRi,0.03
ELP4,26610,RPS10-NUDT3,100529239,K562;Jurkat,31300006,CRISPR/CRISPRi,0.17
ELP4,26610,EXOSC3,51010,K562,31300006,CRISPR/CRISPRi,0.14
ELP4,26610,RPL30,6156,K562,31300006,CRISPR/CRISPRi,0.19
TOMM22,56993,UBA3,9039,Jurkat,31300006,CRISPR/CRISPRi,0.02
DCTN2,10540,XPO1,7514,K562;Jurkat,31300006,CRISPR/CRISPRi,0.14
DCTN2,10540,UBA2,10054,K562;Jurkat,31300006,CRISPR/CRISPRi,0.14
DCTN2,10540,RRM1,6240,Jurkat,31300006,CRISPR/CRISPRi,0.06
DCTN2,10540,NDUFA8,4702,Jurkat,31300006,CRISPR/CRISPRi,0.04
DCTN2,10540,NOL8,55035,K562,31300006,CRISPR/CRISPRi,0.3
DCTN2,10540,ZCCHC9,84240,Jurkat,31300006,CRISPR/CRISPRi,0.13
DCTN2,10540,VPS29,51699,Jurkat,31300006,CRISPR/CRISPRi,0.09
DCTN2,10540,MRPL11,65003,Jurkat,31300006,CRISPR/CRISPRi,0.09
DCTN2,10540,MRPL3,11222,Jurkat,31300006,CRISPR/CRISPRi,0.02
DCTN2,10540,HYPK,25764,Jurkat,31300006,CRISPR/CRISPRi,0.04
DCTN2,10540,PSMD4,5710,Jurkat,31300006,CRISPR/CRISPRi,0.02
DCTN2,10540,NCAPD2,9918,K562,31300006,CRISPR/CRISPRi,0.16
DCTN2,10540,EIF4G2,1982,Jurkat,31300006,CRISPR/CRISPRi,0.51
DCTN2,10540,PRIM2,5558,Jurkat,31300006,CRISPR/CRISPRi,0.04
DCTN2,10540,RPL34,6164,Jurkat,31300006,CRISPR/CRISPRi,0.08
DCTN2,10540,TASOR,23272,K562,31300006,CRISPR/CRISPRi,0.13
DCTN2,10540,EIF2B2,8892,Jurkat,31300006,CRISPR/CRISPRi,0.04
BOD1L1,259282,RPL34,6164,K562,31300006,CRISPR/CRISPRi,0.19
RPL32,6161,RPS10-NUDT3,100529239,K562,31300006,CRISPR/CRISPRi,0.23
RPL32,6161,RPL34,6164,K562,31300006,CRISPR/CRISPRi,0.23
PIK3CD,5293,XPO1,7514,K562,31300006,CRISPR/CRISPRi,0.03
PIK3CD,5293,RRM2,6241,K562,31300006,CRISPR/CRISPRi,0.61
PIK3CD,5293,UMPS,7372,K562,31300006,CRISPR/CRISPRi,0.21
DNTTIP2,30836,RPL34,6164,Jurkat,31300006,CRISPR/CRISPRi,0.07
DNTTIP2,30836,RPS27A,6233,Jurkat,31300006,CRISPR/CRISPRi,0.02
DNTTIP2,30836,DUT,1854,K562,31300006,CRISPR/CRISPRi,0.19
DNTTIP2,30836,NUTF2,10204,K562,31300006,CRISPR/CRISPRi,0.3
DNTTIP2,30836,RPA1,6117,K562,31300006,CRISPR/CRISPRi,0.34
DNTTIP2,30836,RPL23,9349,K562,31300006,CRISPR/CRISPRi,0.14
DNTTIP2,30836,PHF5A,84844,K562;Jurkat,31300006,CRISPR/CRISPRi,0.33
NUF2,83540,RFC5,5985,Jurkat,31300006,CRISPR/CRISPRi,0.01
NUF2,83540,RPL35,11224,K562,31300006,CRISPR/CRISPRi,0.15
NUF2,83540,RAE1,8480,K562,31300006,CRISPR/CRISPRi,0.21
NUF2,83540,SAP18,10284,K562,31300006,CRISPR/CRISPRi,0.32
NUF2,83540,RPL34,6164,K562,31300006,CRISPR/CRISPRi,0.3
NUF2,83540,SNAPC1,6617,K562,31300006,CRISPR/CRISPRi,0.26
NUF2,83540,RPA3,6119,Jurkat,31300006,CRISPR/CRISPRi,0.03
NUF2,83540,SYVN1,84447,Jurkat,31300006,CRISPR/CRISPRi,0.08
NUF2,83540,SFXN1,94081,Jurkat,31300006,CRISPR/CRISPRi,0.11
COA3,28958,EIF2B2,8892,K562,31300006,CRISPR/CRISPRi,0.17
SUV39H1,6839,SBF1,6305,null,10848615,BioGRID,null
RBBP8,5932,RPS14,6208,Jurkat,31300006,CRISPR/CRISPRi,0.15
RBBP8,5932,RRM2,6241,Jurkat,31300006,CRISPR/CRISPRi,0.01
AARS2,57505,RPS10-NUDT3,100529239,Jurkat,31300006,CRISPR/CRISPRi,0.06
AARS2,57505,DDX23,9416,Jurkat,31300006,CRISPR/CRISPRi,0.01
AARS2,57505,RPA1,6117,Jurkat,31300006,CRISPR/CRISPRi,0.0
PPP2R2A,5520,SNAPC1,6617,Jurkat,31300006,CRISPR/CRISPRi,0.11
PPP2R2A,5520,XPO1,7514,Jurkat,31300006,CRISPR/CRISPRi,0.1
CDKN1A,1026,TP63,8626,null,21511729,BioGRID,null
CARS2,79587,RPA1,6117,K562,31300006,CRISPR/CRISPRi,0.24
CARS2,79587,RPS10-NUDT3,100529239,K562,31300006,CRISPR/CRISPRi,0.17
PAXBP1,94104,RPS10-NUDT3,100529239,K562;Jurkat,31300006,CRISPR/CRISPRi,0.14
MRPS25,64432,RPL34,6164,Jurkat,31300006,CRISPR/CRISPRi,0.14
MPHOSPH6,10200,RPL34,6164,Jurkat,31300006,CRISPR/CRISPRi,0.02
CIT,11113,CKAP5,9793,Jurkat,31300006,CRISPR/CRISPRi,0.04
CIT,11113,PSMC6,5706,Jurkat,31300006,CRISPR/CRISPRi,0.06
CIT,11113,NUTF2,10204,Jurkat,31300006,CRISPR/CRISPRi,0.01
CIT,11113,RPL34,6164,K562;Jurkat,31300006,CRISPR/CRISPRi,0.16
CIT,11113,EIF4G2,1982,Jurkat,31300006,CRISPR/CRISPRi,0.26
CIT,11113,DDX23,9416,Jurkat,31300006,CRISPR/CRISPRi,0.04
CIT,11113,PSMC2,5701,Jurkat,31300006,CRISPR/CRISPRi,0.01
CIT,11113,RPA3,6119,Jurkat,31300006,CRISPR/CRISPRi,0.02
COPA,1314,TOMM22,56993,K562,31300006,CRISPR/CRISPRi,0.23
COPA,1314,TIMELESS,8914,Jurkat,31300006,CRISPR/CRISPRi,0.17
COPA,1314,GFER,2671,Jurkat,31300006,CRISPR/CRISPRi,0.04
COPA,1314,RPL38,6169,K562;Jurkat,31300006,CRISPR/CRISPRi,0.2
COPA,1314,TIMM23B,100652748,K562,31300006,CRISPR/CRISPRi,0.28
COPA,1314,NCBP1,4686,K562,31300006,CRISPR/CRISPRi,0.19
COPA,1314,DONSON,29980,Jurkat,31300006,CRISPR/CRISPRi,0.02
COPA,1314,EXOSC3,51010,K562,31300006,CRISPR/CRISPRi,0.15
COPA,1314,EIF3H,8667,K562,31300006,CRISPR/CRISPRi,0.24
COPA,1314,EIF4G2,1982,K562,31300006,CRISPR/CRISPRi,0.39
COPA,1314,MED9,55090,K562,31300006,CRISPR/CRISPRi,0.21
COPA,1314,MED22,6837,K562,31300006,CRISPR/CRISPRi,0.26
COPA,1314,MCM3AP,8888,K562,31300006,CRISPR/CRISPRi,0.17
COPA,1314,RPL34,6164,Jurkat,31300006,CRISPR/CRISPRi,0.04
COPA,1314,TBC1D31,93594,K562,31300006,CRISPR/CRISPRi,0.16
COPA,1314,USE1,55850,K562,31300006,CRISPR/CRISPRi,0.39
COPA,1314,GOLT1B,51026,K562,31300006,CRISPR/CRISPRi,0.13
COPA,1314,MRPL18,29074,K562,31300006,CRISPR/CRISPRi,0.52
COPA,1314,TAF2,6873,Jurkat,31300006,CRISPR/CRISPRi,0.02
COPA,1314,SNRNP200,23020,K562,31300006,CRISPR/CRISPRi,0.18
COPA,1314,DDX23,9416,Jurkat,31300006,CRISPR/CRISPRi,0.03
BUB1B,701,RPA1,6117,K562,31300006,CRISPR/CRISPRi,0.15
BUB1B,701,NUTF2,10204,K562,31300006,CRISPR/CRISPRi,0.17
BUB1B,701,RPL34,6164,Jurkat,31300006,CRISPR/CRISPRi,0.14
BUB1B,701,DDX23,9416,K562,31300006,CRISPR/CRISPRi,0.14
BUB1B,701,RPS10-NUDT3,100529239,Jurkat,31300006,CRISPR/CRISPRi,0.23
RPL30,6156,SFXN1,94081,K562,31300006,CRISPR/CRISPRi,0.18
RPL30,6156,RPL34,6164,K562,31300006,CRISPR/CRISPRi,0.18
MRPL35,51318,RPL38,6169,K562;Jurkat,31300006,CRISPR/CRISPRi,0.29
MRPL35,51318,RPS14,6208,Jurkat,31300006,CRISPR/CRISPRi,0.03
MARS1,4141,PPIE,10450,Jurkat,31300006,CRISPR/CRISPRi,0.0
MARS1,4141,SNAPC1,6617,Jurkat,31300006,CRISPR/CRISPRi,0.12
MARS1,4141,RPS10-NUDT3,100529239,K562,31300006,CRISPR/CRISPRi,0.21
MARS1,4141,XPO1,7514,Jurkat,31300006,CRISPR/CRISPRi,0.02
MARS1,4141,TIMM23B,100652748,Jurkat,31300006,CRISPR/CRISPRi,0.0
PSMC6,5706,RPS10-NUDT3,100529239,K562;Jurkat,31300006,CRISPR/CRISPRi,0.32
RUNX1,861,WEE1,7465,Hela,31300006,CRISPR/CRISPRi,0.86
RUNX1,861,TYMS,7298,Hela,31300006,CRISPR/CRISPRi,0.63
CSF1R,1436,MCAT,27349,K562,31300006,CRISPR/CRISPRi,0.05
RPA3,6119,RPL34,6164,Jurkat,31300006,CRISPR/CRISPRi,0.04
RPA3,6119,RRM2,6241,Jurkat,31300006,CRISPR/CRISPRi,0.01
RPA3,6119,TUBGCP4,27229,Jurkat,31300006,CRISPR/CRISPRi,0.05
NUTF2,10204,TBC1D31,93594,K562,31300006,CRISPR/CRISPRi,0.16
NUTF2,10204,RRM2,6241,Jurkat,31300006,CRISPR/CRISPRi,0.01
NUTF2,10204,TUBGCP4,27229,Jurkat,31300006,CRISPR/CRISPRi,0.03
NUTF2,10204,RPL34,6164,Jurkat,31300006,CRISPR/CRISPRi,0.09
NUTF2,10204,PSMC2,5701,K562;Jurkat,31300006,CRISPR/CRISPRi,0.16
NUTF2,10204,TIMELESS,8914,Jurkat,31300006,CRISPR/CRISPRi,0.25
NUTF2,10204,RPP38,10557,Jurkat,31300006,CRISPR/CRISPRi,0.03
NUTF2,10204,RAE1,8480,K562,31300006,CRISPR/CRISPRi,0.23
NUTF2,10204,PRMT5,10419,K562,31300006,CRISPR/CRISPRi,0.16
NUTF2,10204,PPIE,10450,Jurkat,31300006,CRISPR/CRISPRi,0.05
KIF11,3832,PHF5A,84844,K562;Jurkat,31300006,CRISPR/CRISPRi,0.1
KIF11,3832,NUTF2,10204,K562,31300006,CRISPR/CRISPRi,0.14
PSMD4,5710,TIMELESS,8914,Jurkat,31300006,CRISPR/CRISPRi,0.03
PSMD4,5710,RPL11,6135,Jurkat,31300006,CRISPR/CRISPRi,0.02
MCM3AP,8888,NUTF2,10204,Jurkat,31300006,CRISPR/CRISPRi,0.04
MCM3AP,8888,RPL38,6169,K562,31300006,CRISPR/CRISPRi,0.14
GATA3,2625,KIT,3815,Hela,31300006,CRISPR/CRISPRi,0.69
BCL2,596,WEE1,7465,A549,31300006,CRISPR/CRISPRi,0.06
AATF,26574,RPS10-NUDT3,100529239,K562,31300006,CRISPR/CRISPRi,0.2
PDHB,5162,TPI1,7167,Hela,31300006,CRISPR/CRISPRi,0.68
HSPA5,3309,PHF5A,84844,K562;Jurkat,31300006,CRISPR/CRISPRi,0.39
HSPA5,3309,RPL38,6169,Jurkat,31300006,CRISPR/CRISPRi,0.03
HSPA5,3309,KIF14,9928,Jurkat,31300006,CRISPR/CRISPRi,0.05
HSPA5,3309,RPL34,6164,Jurkat,31300006,CRISPR/CRISPRi,0.03
HSPA5,3309,TUBGCP4,27229,Jurkat,31300006,CRISPR/CRISPRi,0.03
HSPA5,3309,NUTF2,10204,K562,31300006,CRISPR/CRISPRi,0.16
HSPA5,3309,RPS14,6208,Jurkat,31300006,CRISPR/CRISPRi,0.06
HSPA5,3309,UBA3,9039,Jurkat,31300006,CRISPR/CRISPRi,0.13
CDC23,8697,PHF5A,84844,Jurkat,31300006,CRISPR/CRISPRi,0.01
CDC23,8697,RPS10-NUDT3,100529239,K562,31300006,CRISPR/CRISPRi,0.23
ME1,4199,RPE,6120,A549,31300006,CRISPR/CRISPRi,0.11
GINS4,84296,HSPA5,3309,Jurkat,31300006,CRISPR/CRISPRi,0.19
GINS4,84296,RRM2,6241,Jurkat,31300006,CRISPR/CRISPRi,0.07
GINS4,84296,XPO1,7514,Jurkat,31300006,CRISPR/CRISPRi,0.0
EIF2B2,8892,SKIV2L,6499,K562,31300006,CRISPR/CRISPRi,0.14
EIF2B2,8892,LARS1,51520,K562,31300006,CRISPR/CRISPRi,0.14
EIF2B2,8892,MTBP,27085,K562,31300006,CRISPR/CRISPRi,0.29
EIF2B2,8892,EIF4G2,1982,K562,31300006,CRISPR/CRISPRi,0.18
EIF2B2,8892,MED10,84246,K562,31300006,CRISPR/CRISPRi,0.19
EIF2B2,8892,FAM50A,9130,K562,31300006,CRISPR/CRISPRi,0.14
EIF2B2,8892,RPL34,6164,K562,31300006,CRISPR/CRISPRi,0.22
EIF2B2,8892,NDUFA2,4695,K562,31300006,CRISPR/CRISPRi,0.16
EIF2B2,8892,SNAPC1,6617,K562,31300006,CRISPR/CRISPRi,0.25
EIF2B2,8892,KIF11,3832,K562,31300006,CRISPR/CRISPRi,0.18
EIF2B2,8892,GFER,2671,Jurkat,31300006,CRISPR/CRISPRi,0.11
EIF2B2,8892,KIF14,9928,K562,31300006,CRISPR/CRISPRi,0.16
EIF2B2,8892,PSMD1,5707,K562,31300006,CRISPR/CRISPRi,0.34
EIF2B2,8892,SPDL1,54908,K562,31300006,CRISPR/CRISPRi,0.2
EIF2B2,8892,GEMIN4,50628,K562,31300006,CRISPR/CRISPRi,0.15
CDC27,996,SNAPC1,6617,K562,31300006,CRISPR/CRISPRi,0.23
CDC27,996,TOMM22,56993,K562,31300006,CRISPR/CRISPRi,0.13
CDC27,996,NDUFA2,4695,K562,31300006,CRISPR/CRISPRi,0.16
CDC27,996,MTBP,27085,K562,31300006,CRISPR/CRISPRi,0.19
CDC27,996,RPL13,6137,K562,31300006,CRISPR/CRISPRi,0.19
RRM2,6241,SNRNP200,23020,K562,31300006,CRISPR/CRISPRi,0.27
RRM2,6241,VPS4A,27183,Jurkat,31300006,CRISPR/CRISPRi,0.03
RRM2,6241,SNRPG,6637,Jurkat,31300006,CRISPR/CRISPRi,0.02
RPP30,10556,RPS10-NUDT3,100529239,K562;Jurkat,31300006,CRISPR/CRISPRi,0.24
BDP1,55814,RPS14,6208,Jurkat,31300006,CRISPR/CRISPRi,0.03
BDP1,55814,TIMELESS,8914,Jurkat,31300006,CRISPR/CRISPRi,0.02
BDP1,55814,CDCA8,55143,Jurkat,31300006,CRISPR/CRISPRi,0.04
BDP1,55814,GEMIN2,8487,Jurkat,31300006,CRISPR/CRISPRi,0.43
BDP1,55814,RPL34,6164,Jurkat,31300006,CRISPR/CRISPRi,0.19
BDP1,55814,PPIE,10450,Jurkat,31300006,CRISPR/CRISPRi,0.01
BDP1,55814,CIT,11113,Jurkat,31300006,CRISPR/CRISPRi,0.06
BDP1,55814,POLD1,5424,Jurkat,31300006,CRISPR/CRISPRi,0.05
BDP1,55814,DDX23,9416,Jurkat,31300006,CRISPR/CRISPRi,0.04
BDP1,55814,MAT2A,4144,Jurkat,31300006,CRISPR/CRISPRi,0.01
BDP1,55814,TUBGCP4,27229,Jurkat,31300006,CRISPR/CRISPRi,0.01
BDP1,55814,CDC16,8881,Jurkat,31300006,CRISPR/CRISPRi,0.17
BDP1,55814,EMG1,10436,Jurkat,31300006,CRISPR/CRISPRi,0.06
BDP1,55814,NSMCE1,197370,Jurkat,31300006,CRISPR/CRISPRi,0.0
BDP1,55814,RFC4,5984,Jurkat,31300006,CRISPR/CRISPRi,0.2
BDP1,55814,POLA1,5422,Jurkat,31300006,CRISPR/CRISPRi,0.14
BDP1,55814,DCTN2,10540,Jurkat,31300006,CRISPR/CRISPRi,0.13
BDP1,55814,RPS10-NUDT3,100529239,K562;Jurkat,31300006,CRISPR/CRISPRi,0.13
BDP1,55814,DONSON,29980,Jurkat,31300006,CRISPR/CRISPRi,0.09
EBNA1BP2,10969,RPS10-NUDT3,100529239,K562,31300006,CRISPR/CRISPRi,0.34
DCTN4,51164,RRM2,6241,Jurkat,31300006,CRISPR/CRISPRi,0.01
CYB5B,80777,RPL38,6169,Jurkat,31300006,CRISPR/CRISPRi,0.03
CYB5B,80777,KIF14,9928,Jurkat,31300006,CRISPR/CRISPRi,0.02
CYB5B,80777,EMG1,10436,Jurkat,31300006,CRISPR/CRISPRi,0.03
CYB5B,80777,DDX23,9416,Jurkat,31300006,CRISPR/CRISPRi,0.0
CYB5B,80777,POLD1,5424,Jurkat,31300006,CRISPR/CRISPRi,0.0
CYB5B,80777,EXOSC3,51010,K562,31300006,CRISPR/CRISPRi,0.22
CYB5B,80777,MARS1,4141,Jurkat,31300006,CRISPR/CRISPRi,0.06
CYB5B,80777,RPL34,6164,K562,31300006,CRISPR/CRISPRi,0.17
CYB5B,80777,EIF2B2,8892,K562,31300006,CRISPR/CRISPRi,0.19
NSMCE4A,54780,RPL38,6169,Jurkat,31300006,CRISPR/CRISPRi,0.01
DNMT1,1786,NAMPT,10135,K562,31300006,CRISPR/CRISPRi,0.69
DNMT1,1786,UMPS,7372,K562,31300006,CRISPR/CRISPRi,0.04
DNMT1,1786,RRM2,6241,K562,31300006,CRISPR/CRISPRi,0.54
ATP6AP1,537,NUF2,83540,K562,31300006,CRISPR/CRISPRi,0.29
ATP6AP1,537,RPL34,6164,K562;Jurkat,31300006,CRISPR/CRISPRi,0.18
ATP6AP1,537,PHF5A,84844,Jurkat,31300006,CRISPR/CRISPRi,0.1
ATP6AP1,537,SNRNP200,23020,K562,31300006,CRISPR/CRISPRi,0.34
ATP6AP1,537,SPDL1,54908,K562,31300006,CRISPR/CRISPRi,0.19
COPS2,9318,EXOSC3,51010,K562,31300006,CRISPR/CRISPRi,0.13
MRPL19,9801,POLA1,5422,Jurkat,31300006,CRISPR/CRISPRi,0.01
MRPL19,9801,POLD1,5424,Jurkat,31300006,CRISPR/CRISPRi,0.03
MRPL19,9801,RPL38,6169,K562,31300006,CRISPR/CRISPRi,0.24
MRPL19,9801,PHF5A,84844,Jurkat,31300006,CRISPR/CRISPRi,0.05
MRPL19,9801,RPS14,6208,Jurkat,31300006,CRISPR/CRISPRi,0.05
PGK1,5230,RPS10-NUDT3,100529239,Jurkat,31300006,CRISPR/CRISPRi,0.11
BNIP1,662,RPL34,6164,K562,31300006,CRISPR/CRISPRi,0.21
BNIP1,662,SNAPC1,6617,K562,31300006,CRISPR/CRISPRi,0.31
BNIP1,662,NDUFA2,4695,K562,31300006,CRISPR/CRISPRi,0.14
BNIP1,662,HYPK,25764,K562,31300006,CRISPR/CRISPRi,0.16
MRPL18,29074,NUTF2,10204,Jurkat,31300006,CRISPR/CRISPRi,0.03
BRCA1,672,CASP8,841,X293T,31300006,CRISPR/CRISPRi,0.39
MAP2K1,5604,TOP1,7150,X293T,31300006,CRISPR/CRISPRi,0.31
EIF4A1,1973,EXOSC3,51010,K562,31300006,CRISPR/CRISPRi,0.23
EIF4A1,1973,UBA3,9039,Jurkat,31300006,CRISPR/CRISPRi,0.01
FARSA,2193,RPL23,9349,Jurkat,31300006,CRISPR/CRISPRi,0.04
FARSA,2193,RPA1,6117,Jurkat,31300006,CRISPR/CRISPRi,0.0
FARSA,2193,NSMCE1,197370,Jurkat,31300006,CRISPR/CRISPRi,0.01
FARSA,2193,POLA1,5422,Jurkat,31300006,CRISPR/CRISPRi,0.03
FARSA,2193,PHF5A,84844,Jurkat,31300006,CRISPR/CRISPRi,0.03
FARSA,2193,RPL34,6164,Jurkat,31300006,CRISPR/CRISPRi,0.2
BUB3,9184,RPA1,6117,Jurkat,31300006,CRISPR/CRISPRi,0.0
DYNC1H1,1778,RRM2,6241,Jurkat,31300006,CRISPR/CRISPRi,0.01
DYNC1H1,1778,GFER,2671,Jurkat,31300006,CRISPR/CRISPRi,0.01
RPL3,6122,SNAPC1,6617,Jurkat,31300006,CRISPR/CRISPRi,0.07
MICOS10,440574,RPS10-NUDT3,100529239,Jurkat,31300006,CRISPR/CRISPRi,0.14
ARID1A,8289,TSC1,7248,Hela,31300006,CRISPR/CRISPRi,0.61
ARID1A,8289,BCL2,596,Hela,31300006,CRISPR/CRISPRi,0.42
ARID1A,8289,KDM5C,8242,X293T,31300006,CRISPR/CRISPRi,0.16
ARID1A,8289,TOP1,7150,X293T,31300006,CRISPR/CRISPRi,0.33
COPS5,10987,RPA1,6117,Jurkat,31300006,CRISPR/CRISPRi,0.08
EEF2,1938,IMPDH1,3614,786O,31300006,CRISPR/CRISPRi,1.0
MED28,80306,RPA1,6117,K562,31300006,CRISPR/CRISPRi,0.31
PMPCB,9512,RPS10-NUDT3,100529239,K562;Jurkat,31300006,CRISPR/CRISPRi,0.15
PMPCB,9512,RRM2,6241,Jurkat,31300006,CRISPR/CRISPRi,0.03
PMPCB,9512,RPL38,6169,Jurkat,31300006,CRISPR/CRISPRi,0.13
CKAP5,9793,EMG1,10436,Jurkat,31300006,CRISPR/CRISPRi,0.07
CKAP5,9793,RPL23,9349,Jurkat,31300006,CRISPR/CRISPRi,0.04
CKAP5,9793,DONSON,29980,Jurkat,31300006,CRISPR/CRISPRi,0.05
CKAP5,9793,NSMCE1,197370,Jurkat,31300006,CRISPR/CRISPRi,0.02
CKAP5,9793,DCTN2,10540,Jurkat,31300006,CRISPR/CRISPRi,0.03
CKAP5,9793,SRSF7,6432,Jurkat,31300006,CRISPR/CRISPRi,0.06
CKAP5,9793,FAM50A,9130,Jurkat,31300006,CRISPR/CRISPRi,0.05
CKAP5,9793,GEMIN2,8487,Jurkat,31300006,CRISPR/CRISPRi,0.13
CKAP5,9793,PPP2R2A,5520,Jurkat,31300006,CRISPR/CRISPRi,0.03
CKAP5,9793,PPIE,10450,Jurkat,31300006,CRISPR/CRISPRi,0.02
CKAP5,9793,RPL34,6164,Jurkat,31300006,CRISPR/CRISPRi,0.1
CKAP5,9793,DARS1,1615,K562,31300006,CRISPR/CRISPRi,0.19
CKAP5,9793,TUBGCP4,27229,Jurkat,31300006,CRISPR/CRISPRi,0.08
CKAP5,9793,ZMAT2,153527,Jurkat,31300006,CRISPR/CRISPRi,0.03
CKAP5,9793,RPL38,6169,Jurkat,31300006,CRISPR/CRISPRi,0.16
CKAP5,9793,TIMELESS,8914,Jurkat,31300006,CRISPR/CRISPRi,0.23
CKAP5,9793,MAT2A,4144,Jurkat,31300006,CRISPR/CRISPRi,0.09
CKAP5,9793,RRM2,6241,Jurkat,31300006,CRISPR/CRISPRi,0.01
CKAP5,9793,GINS4,84296,Jurkat,31300006,CRISPR/CRISPRi,0.07
CKAP5,9793,GFER,2671,Jurkat,31300006,CRISPR/CRISPRi,0.1
CKAP5,9793,NUF2,83540,Jurkat,31300006,CRISPR/CRISPRi,0.08
CKAP5,9793,PHF5A,84844,Jurkat,31300006,CRISPR/CRISPRi,0.12
CKAP5,9793,LUC7L3,51747,Jurkat,31300006,CRISPR/CRISPRi,0.01
CKAP5,9793,RPS14,6208,Jurkat,31300006,CRISPR/CRISPRi,0.07
CKAP5,9793,KIF14,9928,Jurkat,31300006,CRISPR/CRISPRi,0.15
RPL23,9349,RPL34,6164,K562,31300006,CRISPR/CRISPRi,0.28
DONSON,29980,MRPL35,51318,Jurkat,31300006,CRISPR/CRISPRi,0.08
DONSON,29980,MRPL11,65003,Jurkat,31300006,CRISPR/CRISPRi,0.02
DONSON,29980,TIPIN,54962,Jurkat,31300006,CRISPR/CRISPRi,0.03
DONSON,29980,PSMD12,5718,Jurkat,31300006,CRISPR/CRISPRi,0.03
DONSON,29980,NUTF2,10204,K562,31300006,CRISPR/CRISPRi,0.52
DONSON,29980,POLA1,5422,Jurkat,31300006,CRISPR/CRISPRi,0.0
DONSON,29980,FTSJ3,117246,Jurkat,31300006,CRISPR/CRISPRi,0.7
DONSON,29980,RPL34,6164,Jurkat,31300006,CRISPR/CRISPRi,0.06
DONSON,29980,RPP30,10556,Jurkat,31300006,CRISPR/CRISPRi,0.06
DONSON,29980,INTS5,80789,Jurkat,31300006,CRISPR/CRISPRi,0.03
DONSON,29980,MRPL13,28998,Jurkat,31300006,CRISPR/CRISPRi,0.02
DONSON,29980,PHF5A,84844,Jurkat,31300006,CRISPR/CRISPRi,0.05
DONSON,29980,FIP1L1,81608,Jurkat,31300006,CRISPR/CRISPRi,0.02
DONSON,29980,MZT1,440145,Jurkat,31300006,CRISPR/CRISPRi,0.02
DONSON,29980,PPIE,10450,Jurkat,31300006,CRISPR/CRISPRi,0.01
DONSON,29980,FAM50A,9130,Jurkat,31300006,CRISPR/CRISPRi,0.01
DONSON,29980,GFER,2671,Jurkat,31300006,CRISPR/CRISPRi,0.14
DONSON,29980,MTBP,27085,Jurkat,31300006,CRISPR/CRISPRi,0.0
DONSON,29980,EIF3H,8667,Jurkat,31300006,CRISPR/CRISPRi,0.18
DONSON,29980,SPDL1,54908,K562,31300006,CRISPR/CRISPRi,0.56
DONSON,29980,UBA2,10054,Jurkat,31300006,CRISPR/CRISPRi,0.01
DONSON,29980,MED23,9439,Jurkat,31300006,CRISPR/CRISPRi,0.0
POLR3A,11128,RPL38,6169,Jurkat,31300006,CRISPR/CRISPRi,0.0
